413	695
423	729
435	760
446	792
463	820
489	842
520	860
557	872
592	872
623	863
653	842
676	817
691	789
698	756
700	721
702	686
702	651
436	640
452	618
477	607
506	605
533	613
581	607
604	592
631	587
657	591
676	608
562	642
565	663
568	684
572	705
553	733
565	734
576	735
585	730
595	726
468	661
484	646
505	642
521	657
505	663
485	666
603	647
619	629
639	625
654	637
642	646
622	648
531	791
550	775
567	764
580	766
591	761
610	766
632	776
615	792
599	799
586	802
572	803
553	802
541	790
568	784
582	782
593	780
623	778
595	779
583	782
570	783
