370	826
377	872
387	916
396	960
412	1002
437	1039
469	1073
507	1100
552	1104
597	1094
637	1065
670	1030
696	993
709	950
713	904
718	858
721	811
394	804
416	785
446	782
476	788
505	800
561	794
590	780
621	773
653	774
680	789
534	831
534	863
534	896
534	929
511	944
523	949
538	953
552	945
567	938
435	835
451	824
474	825
491	839
472	843
451	843
584	833
600	817
622	815
640	823
625	833
604	835
484	998
508	990
527	985
543	987
559	982
580	984
604	989
582	1007
562	1017
545	1020
528	1021
508	1014
495	1000
527	1000
543	1000
560	997
594	992
560	997
544	1000
528	1000
153	1844
154	1852
155	1859
157	1866
161	1872
165	1878
170	1883
176	1887
183	1888
190	1887
197	1883
202	1878
207	1872
209	1865
210	1857
211	1849
211	1842
158	1840
162	1837
166	1837
171	1838
175	1840
185	1839
190	1837
195	1836
200	1836
204	1838
181	1845
181	1850
181	1855
181	1860
177	1863
179	1864
182	1864
184	1863
186	1862
164	1846
167	1844
171	1844
173	1846
170	1847
167	1847
189	1845
191	1843
195	1843
198	1844
195	1846
192	1846
173	1872
176	1870
179	1870
182	1870
185	1869
188	1870
192	1871
188	1874
185	1875
182	1876
180	1876
176	1875
175	1872
179	1872
182	1872
185	1872
190	1871
185	1872
182	1872
180	1872
